,CAL_LSAHDE,LSHADE44+IDE,LSAHDE44,UDE,HECO-ES,HECO-DE,MA_ES,IUDE,LSAHDE_IEpsilon,DeCODE,CROCO
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
2,110008,325939.3396,31548.2,73.123,0,0,0,35.447,59.31251964,0,0
3,38.738,14.41751154,13.6147,24.421,0,2.827663989,29.776603,5.0003,13.57279932,13.66684,13.57278715
4,0.956779,0,0,0.15946,0,0,0,0,0,0,0
5,549.617,808.3605355,648.899,86.668,0,0,35.768862,0,16.89733588,0,0
6,-48.7352,-34.00317409,3.74362,-71.387,-422,-474.4259324,-317.33902,-276.73,-120.5230218,-461.5884,9.539410724
7,-0.001348,-0.0013484,-0.0013484,-0.0013484,-0.00135,-0.0013484,-0.0013484,-0.0013484,-0.0013484,-0.0013484,-0.0013484
8,0.125471,-0.00497525,-0.00497026,-0.0049752,-0.00498,-0.004975247,-0.00497525,-0.00497525,-0.00497525,-0.0049752,-0.14689386
9,-0.00051,-0.00050965,-0.00050965,-0.00050965,-0.00051,-0.000509647,-0.00050965,-0.00050965,-0.00050965,-0.00050965,-0.000509647
10,-0.156266,-0.16881943,-0.168819,-5.9956,-0.169,-0.456034825,-0.16779152,-0.15697055,-0.16881177,0.26478564,-508.3814002
11,3.9879,3.98790246,3.99316,3.9879,3.99,3.988416532,6.9956982,3.98904658,3.9879084,3.987908,4.933190043
12,1.11624,0,0,0.31893,0,0,0.15946316,0,0,0.318928,0
13,2.64069,3.00006413,2.8819,2.4708,2.38,2.378570366,2.8742466,2.37633241,2.3763324,2.3763,3.171044956
14,16.2454,11.27825643,14.5456,6.6288,2.36,2.35612378,7.6135668,6.37737419,2.3561238,2.356104,2.276280418
15,65.4166,40.40087826,40.715,6.0946,0,0,0,0,0,1.759196,0
17,1348.61,3166.311063,2105.76,99.62,35.8,36.59780691,36.597692,9.48317299,36.597725,7044.888,0.318776887
19,0.868614,0.41560643,0.19298,1.497,0.362,0.213614682,1.1696225,0.64855687,0.60455629,0.5716052,0.469074792
20,6.86278,3.98790246,3.98811,4.4125,3.99,3.98790247,4.4129372,3.9879131,3.9894928,3.9879,26.69038616
21,6.6684,0.15946316,0.637901,5.3135,6.20E-30,0.166107463,0.63785266,2.9757,0,0,0
22,2.52785,3.02121667,2.54105,2.4682,2.38,2.3763325,2.4989361,2.37633241,2.3763354,2.46226,4.559698016
23,15.7361,8.76500487,8.63932,5.4977,2.36,2.356123882,6.1260894,5.4977,2.3561238,2.3561,2.298311496
24,61.1432,37.69905179,38.7043,6.283,5.81E-288,1.570657202,0,0,0,2.701664,0
26,2438.8,7944.152327,3546.97,136.3,35.8,35.48948057,75.909877,76.743,36.597926,24932.908,14.64584578
