,CAL_LSAHDE,LSHADE44+IDE,LSAHDE44,UDE,HECO-ES,HECO-DE,MA_ES,IUDE,LSAHDE_IEpsilon,DeCODE,CORCO
0,100,100,100,100,100,100,100,100,100,100,100
1,100,100,100,100,100,100,100,100,100,100,100
2,48,100,100,100,100,100,100,100,100,100,100
3,100,100,100,100,100,100,100,100,100,100,100
4,100,100,100,100,100,100,100,100,100,100,100
5,100,0,0,100,100,87,100,0,0,100,80
6,56,100,100,100,100,12,100,60,100,100,100
7,100,100,100,100,100,100,100,100,100,100,100
8,84,100,100,100,100,100,100,100,100,100,96
9,100,100,100,100,100,100,100,100,100,100,100
10,20,100,100,0,100,0,76,0,0,0,0
11,100,100,100,100,100,100,100,100,100,100,100
12,88,100,100,100,100,100,100,100,100,100,100
13,100,100,100,100,100,100,100,100,100,100,100
14,12,100,100,100,100,100,68,100,100,100,100
15,12,100,100,100,100,100,100,100,100,100,100
17,0,0,0,0,100,66,100,0,100,0,0
19,100,100,100,100,100,100,100,100,100,100,100
20,100,100,100,100,100,100,100,100,100,100,0
21,36,100,96,84,100,100,100,100,8,100,100
22,84,100,100,100,100,100,100,100,100,100,100
23,28,100,100,100,100,100,100,100,100,100,96
24,32,100,100,100,100,100,100,100,100,100,100
26,0,0,0,0,100,95,100,0,100,0,0
